Mod Name,Texture File Name,Average Hex Code
akidecor-0.1.3.3-1.12.2.jar,pale_oak_log_top.png,#c6bdbb
akidecor-0.1.3.3-1.12.2.jar,pale_oak_planks.png,#e3d9d8
akidecor-0.1.3.3-1.12.2.jar,polished_tuff.png,#616863
akidecor-0.1.3.3-1.12.2.jar,portland_stone.png,#dcd9d4
akidecor-0.1.3.3-1.12.2.jar,portland_stone_brick.png,#b7b3b1
akidecor-0.1.3.3-1.12.2.jar,portland_stone_large_brick.png,#cbc6c3
akidecor-0.1.3.3-1.12.2.jar,raw_iron.png,#a6876b
akidecor-0.1.3.3-1.12.2.jar,rich_clay_brick.png,#776358
akidecor-0.1.3.3-1.12.2.jar,rich_grass.png,#7e9136
akidecor-0.1.3.3-1.12.2.jar,rick_dge.png,#b38f75
akidecor-0.1.3.3-1.12.2.jar,roadway.png,#2d2c2c
akidecor-0.1.3.3-1.12.2.jar,sanded_brick.png,#95856f
akidecor-0.1.3.3-1.12.2.jar,sanded_large_bricks.png,#887d68
akidecor-0.1.3.3-1.12.2.jar,smooth_basalt.png,#48484e
akidecor-0.1.3.3-1.12.2.jar,smooth_highland_tuff.png,#4d3f37
akidecor-0.1.3.3-1.12.2.jar,smooth_lightstone.png,#fcd786
akidecor-0.1.3.3-1.12.2.jar,smooth_midhurst_stone.png,#aca7a6
akidecor-0.1.3.3-1.12.2.jar,sooted_brick.png,#7f554a
akidecor-0.1.3.3-1.12.2.jar,sootier_brick.png,#553a33
akidecor-0.1.3.3-1.12.2.jar,stone_andesite.png,#888888
akidecor-0.1.3.3-1.12.2.jar,stone_diorite.png,#bcbcbc
akidecor-0.1.3.3-1.12.2.jar,stone_granite.png,#956755
akidecor-0.1.3.3-1.12.2.jar,stripped_bamboo.png,#c1ad50
akidecor-0.1.3.3-1.12.2.jar,stripped_bamboo_top.png,#b6a34d
akidecor-0.1.3.3-1.12.2.jar,stripped_pale_oak_log.png,#f5eeec
akidecor-0.1.3.3-1.12.2.jar,stripped_pale_oak_log_top.png,#ebe2e1
akidecor-0.1.3.3-1.12.2.jar,terracotta_roof_block_1.png,#a86c4e
akidecor-0.1.3.3-1.12.2.jar,terracotta_roof_block_2.png,#a76e4b
akidecor-0.1.3.3-1.12.2.jar,terracotta_roof_block_3.png,#a76e4b
akidecor-0.1.3.3-1.12.2.jar,terracotta_roof_block_4.png,#a76d4c
akidecor-0.1.3.3-1.12.2.jar,terracotta_roof_block_5.png,#a76d4c
akidecor-0.1.3.3-1.12.2.jar,tuff.png,#6c6d66
akidecor-0.1.3.3-1.12.2.jar,tuff_bricks.png,#62665f
akidecor-0.1.3.3-1.12.2.jar,wet_grass.png,#556224
akidecor-0.1.3.3-1.12.2.jar,whistle_board.png,#5c5311
akidecor-0.1.3.3-1.12.2.jar,whitestone_tuff.png,#c3c3c1
akidecor-0.1.3.3-1.12.2.jar,whitestone_tuff_bricks.png,#b2b2b1
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,amber_block.png,#de8e21
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,amber_ore.png,#917c5b
BiomesOPlenty-1.12.2-7.0.1.2445-universal.jar,amethyst_block.png,#ed70ff
