akidecor-0.1.3.3-1.12.2.jar,green_terracotta_roof_block_5.png,#32583c,Green Terracotta Roof Block
akidecor-0.1.3.3-1.12.2.jar,highland_clay_large_bricks.png,#68554b,Highland Clay Large
akidecor-0.1.3.3-1.12.2.jar,highland_tuff.png,#4e3c32,Highland Tuff
akidecor-0.1.3.3-1.12.2.jar,highland_tuff_bricks.png,#49382f,Highland Tuff
akidecor-0.1.3.3-1.12.2.jar,lakestone.png,#45423b,Lakestone
akidecor-0.1.3.3-1.12.2.jar,lakestone2.png,#46433d,Lakestone2
akidecor-0.1.3.3-1.12.2.jar,lakestone3.png,#46443d,Lakestone3
akidecor-0.1.3.3-1.12.2.jar,lightstone.png,#ffd770,Lightstone
akidecor-0.1.3.3-1.12.2.jar,light_grass.png,#90a247,Light Grass
akidecor-0.1.3.3-1.12.2.jar,mangrove_log_side.png,#534229,Mangrove Log
akidecor-0.1.3.3-1.12.2.jar,mangrove_log_stripped.png,#6d2b2b,Mangrove Log Stripped
akidecor-0.1.3.3-1.12.2.jar,mangrove_log_stripped_side.png,#77362f,Mangrove Log Stripped
akidecor-0.1.3.3-1.12.2.jar,mangrove_log_stripped_top.png,#6d2b2b,Mangrove Log Stripped
akidecor-0.1.3.3-1.12.2.jar,mangrove_log_top.png,#66302a,Mangrove Log
akidecor-0.1.3.3-1.12.2.jar,mangrove_planks.png,#753630,Mangrove
akidecor-0.1.3.3-1.12.2.jar,mangrove_roots_side.png,#4b3b26,Mangrove Roots
akidecor-0.1.3.3-1.12.2.jar,mangrove_roots_top.png,#4a3b26,Mangrove Roots
akidecor-0.1.3.3-1.12.2.jar,midhurst_brick.png,#938f8f,Midhurst Brick
akidecor-0.1.3.3-1.12.2.jar,midhurst_large_bricks.png,#9f9f9e,Midhurst Large
akidecor-0.1.3.3-1.12.2.jar,mossygratestone.png,#555750,Mossygratestone
akidecor-0.1.3.3-1.12.2.jar,mud.png,#3c393c,Mud
akidecor-0.1.3.3-1.12.2.jar,mud_bricks.png,#89674f,Mud
akidecor-0.1.3.3-1.12.2.jar,mud_packed.png,#8e6a4f,Mud Packed
